,Precision,Recall,F1,Catgegory,True Label Distribution,Pred Label Distribution
0,0.988,0.985,0.986,O,0.847,0.85
1,0.858,0.808,0.832,geo,0.043,0.045
2,0.846,0.901,0.873,gpe,0.015,0.016
3,0.879,0.877,0.878,per,0.033,0.034
4,0.642,0.705,0.672,org,0.035,0.031
5,0.883,0.869,0.876,tim,0.026,0.025
6,0.0,0.0,0.0,art,0.001,0.0
7,0.35,0.718,0.471,nat,0.0,0.0
8,0.166,0.806,0.275,eve,0.0,0.0
