,Precision,Recall,F1
mean,0.6235555555555555,0.741,0.6514444444444445
std,0.36110597859600413,0.291469552440731,0.33437258825713834
min,0.0,0.0,0.0
25%,0.35,0.718,0.471
50%,0.846,0.808,0.832
75%,0.879,0.877,0.876
max,0.988,0.985,0.986
