,Precision,Recall,F1
mean,0.5823333333333334,0.7441111111111112,0.6098888888888889
std,0.3933004576656376,0.2901010360393618,0.36895238325712315
min,0.0,0.0,0.0
25%,0.146,0.733,0.243
50%,0.828,0.827,0.827
75%,0.855,0.876,0.876
max,0.99,0.98,0.985
