,Precision,Recall,F1,Catgegory,True Label Distribution,Pred Label Distribution
0,0.964,0.992,0.978,O,0.847,0.823
1,0.838,0.794,0.815,geo,0.043,0.044
2,0.84,0.911,0.874,gpe,0.015,0.016
3,0.897,0.842,0.869,per,0.033,0.036
4,0.758,0.5,0.602,org,0.035,0.051
5,0.902,0.751,0.82,tim,0.026,0.029
6,0.0,0.0,0.0,art,0.001,0.0
7,0.5,0.635,0.559,nat,0.0,0.0
8,0.099,0.625,0.171,eve,0.0,0.0
