,Precision,Recall,F1
mean,0.6442222222222223,0.6722222222222222,0.632
std,0.36306293455053273,0.29459539107807586,0.3393847374293664
min,0.0,0.0,0.0
25%,0.5,0.625,0.559
50%,0.838,0.751,0.815
75%,0.897,0.842,0.869
max,0.964,0.992,0.978
