,Precision,Recall,F1
mean,0.512,0.664,0.5456666666666666
std,0.37771748701906827,0.30451272551405795,0.36147856091336866
min,0.0,0.0,0.0
25%,0.119,0.6,0.205
50%,0.706,0.72,0.748
75%,0.807,0.897,0.79
max,0.985,0.965,0.975
