,Precision,Recall,F1,Catgegory,True Label Distribution,Pred Label Distribution
0,0.99,0.984,0.987,O,0.847,0.852
1,0.828,0.833,0.831,geo,0.043,0.042
2,0.854,0.888,0.871,gpe,0.015,0.016
3,0.893,0.861,0.877,per,0.033,0.035
4,0.65,0.698,0.674,org,0.035,0.032
5,0.859,0.906,0.882,tim,0.026,0.023
6,0.0,0.0,0.0,art,0.001,0.0
7,0.45,0.655,0.533,nat,0.0,0.0
8,0.219,0.702,0.333,eve,0.0,0.0
